#x	y	new0_flux	flux_lukas_flux
0.523599	0.0024865	229.77	229.588
0.523599	0.002494	229.811	229.682
0.523599	0.0025015	231.203	231.111
0.523599	0.002509	233.972	233.898
0.523599	0.0025165	238.139	238.067
0.523599	0.002524	243.73	243.641
0.523599	0.0025315	250.767	250.644
0.523599	0.002539	259.273	259.099
0.523599	0.0025465	269.27	269.028
0.523599	0.002554	280.782	280.454
0.628319	0.002464	263.608	263.178
0.628319	0.0024715	259.633	259.305
0.628319	0.002479	256.932	256.687
0.628319	0.0024865	255.527	255.348
0.628319	0.002494	255.443	255.313
0.628319	0.0025015	256.704	256.605
0.628319	0.002509	259.334	259.248
0.628319	0.0025165	263.356	263.266
0.628319	0.002524	268.794	268.682
0.628319	0.0025315	275.67	275.52
0.628319	0.002539	284.009	283.801
0.628319	0.0025465	293.832	293.55
0.628319	0.002554	305.161	304.788
0.733038	0.002464	289.475	289.024
0.733038	0.0024715	285.243	284.896
0.733038	0.002479	282.285	282.025
0.733038	0.0024865	280.625	280.434
0.733038	0.002494	280.288	280.148
0.733038	0.0025015	281.297	281.191
0.733038	0.002509	283.676	283.586
0.733038	0.0025165	287.449	287.357
0.733038	0.002524	292.638	292.528
0.733038	0.0025315	299.268	299.121
0.733038	0.002539	307.361	307.16
0.733038	0.0025465	316.94	316.667
0.733038	0.002554	327.957	327.602
0.837758	0.002464	314.379	313.833
0.837758	0.0024715	309.9	309.466
0.837758	0.002479	306.664	306.343
0.837758	0.0024865	304.713	304.486
0.837758	0.002494	304.084	303.919
0.837758	0.0025015	304.802	304.666
0.837758	0.002509	306.88	306.749
0.837758	0.0025165	310.314	310.191
0.837758	0.002524	315.148	315.016
0.837758	0.0025315	321.403	321.246
0.837758	0.002539	329.103	328.903
0.837758	0.0025465	338.27	338.01
0.837758	0.002554	348.925	348.588
0.942478	0.002464	336.571	336.014
0.942478	0.0024715	331.894	331.444
0.942478	0.002479	328.47	328.109
0.942478	0.0024865	326.32	326.032
0.942478	0.002494	325.47	325.236
0.942478	0.0025015	325.941	325.744
0.942478	0.002509	327.757	327.58
0.942478	0.0025165	330.941	330.767
0.942478	0.002524	335.452	335.326
0.942478	0.0025315	341.385	341.236
0.942478	0.002539	348.763	348.573
0.942478	0.0025465	357.608	357.36
0.942478	0.002554	367.94	367.618
1.0472	0.002464	356.592	356.027
1.0472	0.0024715	351.569	351.113
1.0472	0.002479	347.797	347.433
1.0472	0.0024865	345.3	345.011
1.0472	0.002494	344.101	343.869
1.0472	0.0025015	344.224	344.032
1.0472	0.002509	345.69	345.521
1.0472	0.0025165	348.525	348.36
1.0472	0.002524	352.749	352.572
1.0472	0.0025315	358.386	358.179
1.0472	0.002539	365.458	365.204
1.0472	0.0025465	373.986	373.669
1.0472	0.002554	383.993	383.594
1.15192	0.002464	373.983	373.407
1.15192	0.0024715	368.59	368.126
1.15192	0.002479	364.448	364.078
1.15192	0.0024865	361.579	361.286
1.15192	0.002494	360.007	359.774
1.15192	0.0025015	359.755	359.565
1.15192	0.002509	360.847	360.681
1.15192	0.0025165	363.305	363.146
1.15192	0.002524	367.152	366.983
1.15192	0.0025315	372.411	372.214
1.15192	0.002539	379.103	378.862
1.15192	0.0025465	387.251	386.947
1.15192	0.002554	396.876	396.494
1.25664	0.002464	388.243	387.655
1.25664	0.0024715	382.464	381.99
1.25664	0.002479	377.933	377.556
1.25664	0.0024865	374.674	374.376
1.25664	0.002494	372.71	372.474
1.25664	0.0025015	372.065	371.874
1.25664	0.002509	372.762	372.597
1.25664	0.0025165	374.823	374.667
1.25664	0.002524	378.271	378.108
1.25664	0.0025315	383.13	382.94
1.25664	0.002539	389.42	389.188
1.25664	0.0025465	397.165	396.872
1.25664	0.002554	406.385	406.015
1.36136	0.002464	398.963	398.363
1.36136	0.0024715	392.786	392.301
1.36136	0.002479	387.855	387.469
1.36136	0.0024865	384.193	383.889
1.36136	0.002494	381.825	381.585
1.36136	0.0025015	380.774	380.58
1.36136	0.002509	381.061	380.896
1.36136	0.0025165	382.711	382.558
1.36136	0.002524	385.747	385.586
1.36136	0.0025315	390.19	390.005
1.36136	0.002539	396.062	395.837
1.36136	0.0025465	403.387	403.103
1.36136	0.002554	412.186	411.826
1.46608	0.002464	405.594	404.978
1.46608	0.0024715	399.168	398.661
1.46608	0.002479	393.924	393.531
1.46608	0.0024865	389.856	389.545
1.46608	0.002494	387.077	386.833
1.46608	0.0025015	385.613	385.416
1.46608	0.002509	385.485	385.319
1.46608	0.0025165	386.717	386.563
1.46608	0.002524	389.331	389.173
1.46608	0.0025315	393.35	393.17
1.46608	0.002539	398.797	398.576
1.46608	0.0025465	405.693	405.415
1.46608	0.002554	414.059	413.707
1.5708	0.002464	408.327	407.702
1.5708	0.0024715	401.508	400.994
1.5708	0.002479	395.921	395.501
1.5708	0.0024865	391.503	391.187
1.5708	0.002494	388.316	388.067
1.5708	0.0025015	386.439	386.24
1.5708	0.002509	385.896	385.729
1.5708	0.0025165	386.71	386.556
1.5708	0.002524	388.903	388.746
1.5708	0.0025315	392.497	392.319
1.5708	0.002539	397.516	397.299
1.5708	0.0025465	403.981	403.707
1.5708	0.002554	411.913	411.566
1.67552	0.002464	407.126	406.492
1.67552	0.0024715	399.924	399.402
1.67552	0.002479	393.95	393.523
1.67552	0.0024865	389.109	388.788
1.67552	0.002494	385.522	385.269
1.67552	0.0025015	383.241	383.039
1.67552	0.002509	382.29	382.121
1.67552	0.0025165	382.693	382.538
1.67552	0.002524	384.47	384.314
1.67552	0.0025315	387.646	387.469
1.67552	0.002539	392.243	392.028
1.67552	0.0025465	398.282	398.011
1.67552	0.002554	405.785	405.441
1.78024	0.002464	402.074	401.431
1.78024	0.0024715	394.504	393.975
1.78024	0.002479	388.032	387.619
1.78024	0.0024865	382.78	382.453
1.78024	0.002494	378.807	378.55
1.78024	0.0025015	376.137	375.932
1.78024	0.002509	374.793	374.622
1.78024	0.0025165	374.797	374.642
1.78024	0.002524	376.173	376.016
1.78024	0.0025315	378.944	378.767
1.78024	0.002539	383.13	382.916
1.78024	0.0025465	388.755	388.486
1.78024	0.002554	395.84	395.499
1.88496	0.002464	393.314	392.667
1.88496	0.0024715	385.221	384.697
1.88496	0.002479	378.357	377.939
1.88496	0.0024865	372.744	372.415
1.88496	0.002494	368.407	368.148
1.88496	0.0025015	365.369	365.161
1.88496	0.002509	363.652	363.478
1.88496	0.0025165	363.279	363.122
1.88496	0.002524	364.273	364.114
1.88496	0.0025315	366.657	366.479
1.88496	0.002539	370.452	370.237
1.88496	0.0025465	375.682	375.411
1.88496	0.002554	382.367	382.024
1.98968	0.002464	380.899	380.248
1.98968	0.0024715	372.483	371.955
1.98968	0.002479	365.29	364.869
1.98968	0.0024865	359.345	359.012
