#x	y	12_	12a	12b
0.0223914	-1.67552	0.339993	0.337664	0.343334
0.0223914	-1.5708	0.354625	0.353693	0.355749
0.0223914	-1.46608	0.41711	0.415243	0.417792
0.0223914	-1.36136	0.465768	0.460345	0.474541
0.0223914	-1.25664	0.585816	0.577239	0.600327
0.0223914	-1.15192	0.88736	0.872613	0.912386
0.0223914	-1.0472	1.49731	1.47465	1.53569
0.0223914	-0.942478	2.5412	2.50758	2.59462
0.0223914	-0.837758	4.153	4.10919	4.21611
0.0223914	-0.733038	6.38717	6.34072	6.46608
0.0223914	-0.628319	9.43886	9.38692	9.52389
0.0223914	-0.523599	13.4127	13.3345	13.4808
0.0223914	-0.418879	18.3232	18.2477	18.44
0.0223914	-0.314159	24.2878	24.2214	24.4005
0.0223914	-0.20944	31.2601	31.1961	31.3688
0.0223914	-0.10472	39.3504	39.2793	39.4714
0.0223914	-2.66454e-15	48.5836	48.506	48.7154
0.0223914	0.10472	58.7381	58.6657	58.8611
0.0223914	0.20944	69.6979	69.6225	69.826
0.0223914	0.314159	81.4588	81.3818	81.5895
0.0223914	0.418879	93.8294	93.7526	93.9598
0.0223914	0.523599	106.496	106.42	106.624
0.0223914	0.628319	118.916	118.844	119.038
0.0223914	0.733038	131.103	131.037	131.216
0.0223914	0.837758	142.734	142.675	142.835
0.0223914	0.942478	153.478	153.427	153.565
0.0223914	1.0472	163.008	162.966	163.08
0.0223914	1.15192	171.023	170.99	171.079
0.0223914	1.25664	177.1	177.077	177.137
0.0223914	1.36136	181.127	181.116	181.152
0.0223914	1.46608	183.083	183.074	183.098
0.0223914	1.5708	182.86	182.854	182.87
0.0223914	1.67552	180.467	180.465	180.47
0.0223914	1.78024	176.046	176.046	176.047
0.0223914	1.88496	169.755	169.754	169.757
0.0223914	1.98968	161.577	161.57	161.589
0.0223914	2.0944	151.894	151.882	151.913
0.0223914	2.19911	141.089	141.07	141.119
0.0223914	2.30383	129.437	129.41	129.482
0.0223914	2.40855	117.275	117.239	117.335
0.0223914	2.51327	104.953	104.907	105.029
0.0223914	2.61799	92.7551	92.6997	92.8487
0.0223914	2.72271	80.6903	80.6232	80.8013
0.0223914	2.82743	69.0869	69.0121	69.2118
0.0223914	2.93215	58.2771	58.1958	58.4135
0.0223914	3.03687	48.3906	48.3046	48.5355
0.0223914	3.14159	39.5137	39.425	39.6637
0.0230448	-3.14159	38.8129	38.7125	38.9802
0.0230448	-3.03687	31.1506	31.0504	31.3182
0.0230448	-2.93215	24.5489	24.4512	24.713
