#x	y	new0	new11a	new11b	new8
0.4855	-2.40855	7.22204	7.20976	7.23678	7.22387
0.4855	-2.30383	5.19102	5.18093	5.2031	5.19074
0.4855	-2.19911	3.76245	3.74818	3.76357	3.75424
0.4855	-2.0944	2.79758	2.79654	2.80172	2.79635
0.4855	-1.98968	2.20434	2.20261	2.20633	2.20339
0.4855	-1.88496	1.86411	1.86354	1.86477	1.86316
0.4855	-1.78024	1.69228	1.69225	1.69231	1.69162
0.4855	-1.67552	1.62912	1.62892	1.62933	1.62883
0.4855	-1.5708	1.61708	1.61625	1.61801	1.6168
0.4855	-1.46608	1.62605	1.626	1.62611	1.62525
0.4855	-1.36136	1.73007	1.72988	1.7303	1.72814
0.4855	-1.25664	1.98479	1.98355	1.98623	1.98072
0.4855	-1.15192	2.4738	2.47066	2.47744	2.46658
0.4855	-1.0472	3.30332	3.2975	3.31008	3.29165
0.4855	-0.942478	4.56245	4.56079	4.56447	4.54402
0.4855	-0.837758	6.3932	6.38958	6.39755	6.36747
0.4855	-0.733038	8.97336	8.96719	8.98073	8.93869
0.4855	-0.628319	12.447	12.4379	12.458	12.4017
0.4855	-0.523599	16.9503	16.9379	16.9652	16.8926
0.4855	-0.418879	22.6039	22.588	22.6229	22.532
0.4855	-0.314159	29.3714	29.3743	29.3806	29.3086
0.4855	-0.20944	37.2788	37.2565	37.2219	37.1344
0.4855	-0.10472	46.432	46.4127	46.3532	46.2492
0.4855	-2.66454e-15	56.5909	56.582	56.5389	56.4384
0.4855	0.10472	67.6731	67.662	67.6876	67.5682
0.4855	0.20944	79.6557	79.6435	79.6714	79.6123
0.4855	0.314159	92.14	92.1263	92.1579	92.0962
0.4855	0.418879	105.113	105.099	105.13	105.092
0.4855	0.523599	118.067	118.053	118.086	118.05
0.4855	0.628319	131.109	131.095	131.128	131.098
0.4855	0.733038	143.918	143.904	143.936	143.915
0.4855	0.837758	156.151	156.138	156.168	156.157
0.4855	0.942478	167.453	167.442	167.468	167.47
0.4855	1.0472	177.476	177.467	177.488	177.506
0.4855	1.15192	185.876	185.858	185.9	185.926
0.4855	1.25664	192.309	192.294	192.328	192.374
0.4855	1.36136	196.623	196.612	196.637	196.705
0.4855	1.46608	198.672	198.665	198.681	198.77
0.4855	1.5708	198.388	198.375	198.397	198.506
0.4855	1.67552	195.671	195.663	195.682	195.805
0.4855	1.78024	190.756	190.752	190.762	190.904
0.4855	1.88496	183.829	183.828	183.831	183.99
0.4855	1.98968	175.126	175.122	175.132	175.297
0.4855	2.0944	164.866	164.865	164.868	165.045
0.4855	2.19911	153.484	153.484	153.484	153.667
0.4855	2.30383	141.32	141.319	141.32	141.504
0.4855	2.40855	128.713	128.711	128.716	128.896
0.4855	2.51327	115.984	115.978	115.991	116.161
0.4855	2.61799	103.398	103.396	103.4	103.565
0.4855	2.72271	90.9086	90.9048	90.913	91.0437
0.4855	2.82743	78.8393	78.8324	78.8475	78.964
0.4855	2.93215	67.3662	67.3568	67.3772	67.4592
0.4855	3.03687	56.6378	56.625	56.6531	56.7201
0.4855	3.14159	46.9416	46.9279	46.9578	46.9986
0.494	-3.14159	44.7179	44.7112	44.7261	44.7941
0.494	-3.03687	36.2305	36.2222	36.2406	36.2953
0.494	-2.93215	28.7916	28.7836	28.8014	28.8355
0.494	-2.82743	22.2742	22.2656	22.2848	22.3089
0.494	-2.72271	16.8679	16.8592	16.8786	16.8942
0.494	-2.61799	12.4902	12.482	12.5004	12.5092
0.494	-2.51327	9.04021	9.03291	9.04925	9.05304
0.494	-2.40855	6.3725	6.36796	6.37808	6.37452
0.494	-2.30383	4.34501	4.34174	4.34903	4.34472
0.494	-2.19911	2.91449	2.91248	2.91695	2.9128
0.494	-2.0944	1.95572	1.95479	1.95683	1.95341
